iter	Passed	Remaining
0	172	34404
1	174	17302
2	176	11588
3	178	8744
4	180	7045
5	183	5919
6	185	5101
7	186	4484
8	188	4005
9	190	3615
10	191	3298
11	194	3046
12	196	2821
13	197	2627
14	205	2531
15	207	2381
16	209	2251
17	210	2130
18	212	2020
19	213	1920
20	214	1828
21	215	1744
22	216	1668
23	217	1598
24	219	1533
25	220	1474
26	221	1420
27	223	1371
28	225	1331
29	227	1289
30	229	1249
31	230	1210
32	232	1177
33	234	1144
34	235	1112
35	237	1081
36	238	1051
37	240	1023
38	241	996
39	242	970
40	243	945
41	245	921
42	246	899
43	247	878
44	248	857
45	250	836
46	251	818
47	252	799
48	254	782
49	255	766
50	256	749
51	257	733
52	259	718
53	260	703
54	261	689
55	262	675
56	263	662
57	265	649
58	266	636
59	267	625
60	268	612
61	270	601
62	271	589
63	272	579
64	273	568
65	274	558
66	276	548
67	277	538
68	278	529
69	280	520
70	281	511
71	282	502
72	283	494
73	285	485
74	286	477
75	287	469
76	289	461
77	290	454
78	291	446
79	292	439
80	293	431
81	295	424
82	295	417
83	297	410
84	298	404
85	299	397
86	301	391
87	302	385
88	303	378
89	305	372
90	306	366
91	307	361
92	308	355
93	310	349
94	311	344
95	312	339
96	314	333
97	315	328
98	316	323
99	317	317
100	319	312
101	320	307
102	321	302
103	322	298
104	324	293
105	325	288
106	327	284
107	328	279
108	329	275
109	331	271
110	333	267
111	334	262
112	335	258
113	337	254
114	338	250
115	340	246
116	341	242
117	343	238
118	344	234
119	345	230
120	346	226
121	348	222
122	349	218
123	350	214
124	351	211
125	353	207
126	354	203
127	355	200
128	357	196
129	358	193
130	359	189
131	361	186
132	362	182
133	364	179
134	365	175
135	366	172
136	367	169
137	369	165
138	370	162
139	371	159
140	372	155
141	373	152
142	374	149
143	375	146
144	376	142
145	377	139
146	378	136
147	379	133
148	381	130
149	382	127
150	383	124
151	384	121
152	385	118
153	386	115
154	387	112
155	388	109
156	389	106
157	391	103
158	392	101
159	393	98
160	394	95
161	395	92
162	396	90
163	398	87
164	399	84
165	401	82
166	402	79
167	403	76
168	405	74
169	406	71
170	408	69
171	409	66
172	410	64
173	412	61
174	413	59
175	414	56
176	416	54
177	417	51
178	418	49
179	419	46
180	421	44
181	422	41
182	423	39
183	424	36
184	426	34
185	427	32
186	428	29
187	429	27
188	431	25
189	432	22
190	433	20
191	435	18
192	436	15
193	437	13
194	439	11
195	440	8
196	442	6
197	443	4
198	444	2
199	445	0
