iter	Passed	Remaining
0	137	137360
1	140	70298
2	145	48221
3	147	36717
4	149	29840
5	153	25386
6	154	21939
7	156	19399
8	157	17380
9	159	15768
10	160	14426
11	161	13311
12	162	12366
13	164	11619
14	166	10925
15	167	10309
16	169	9785
17	170	9316
18	172	8883
19	173	8498
20	174	8148
21	176	7824
22	177	7528
23	179	7303
24	181	7065
25	182	6834
26	183	6624
27	185	6432
28	186	6255
29	188	6082
30	189	5919
31	190	5763
32	191	5622
33	193	5491
34	194	5370
35	196	5251
36	197	5145
37	199	5052
38	201	4955
39	202	4858
40	203	4767
41	205	4683
42	207	4608
43	208	4532
44	210	4461
45	211	4396
46	213	4331
47	215	4265
48	216	4199
49	217	4139
50	219	4080
51	221	4035
52	222	3979
53	224	3927
54	226	3884
55	227	3840
56	229	3796
57	230	3747
58	231	3699
59	233	3653
60	234	3617
61	236	3579
62	239	3566
63	241	3535
64	243	3503
65	245	3468
66	246	3432
67	247	3396
68	249	3361
69	251	3341
70	252	3309
71	254	3279
72	256	3251
73	257	3221
74	258	3193
75	260	3165
76	261	3136
77	262	3108
78	264	3079
79	267	3078
80	269	3059
81	271	3035
82	272	3006
83	274	2995
84	276	2975
85	277	2953
86	280	2940
87	281	2918
88	283	2900
89	284	2879
90	285	2856
91	287	2833
92	288	2811
93	289	2788
94	290	2768
95	291	2749
96	293	2728
97	295	2718
98	296	2702
99	299	2691
100	300	2678
101	302	2661
102	303	2642
103	304	2623
104	305	2605
105	307	2589
106	309	2583
107	311	2569
108	312	2554
109	314	2543
110	316	2532
111	317	2519
112	319	2506
113	320	2492
114	322	2478
115	326	2484
116	327	2469
117	328	2458
118	330	2448
119	332	2437
120	333	2424
121	334	2410
122	336	2397
123	338	2393
124	340	2383
125	342	2372
126	343	2362
127	345	2351
128	346	2341
129	348	2329
130	349	2318
131	350	2307
132	353	2301
133	354	2291
134	356	2281
135	357	2272
136	359	2263
137	360	2252
138	361	2242
139	363	2231
140	364	2222
141	365	2209
142	367	2202
143	369	2193
144	370	2185
145	372	2176
146	373	2167
147	375	2159
148	376	2150
149	378	2142
150	379	2134
151	381	2129
152	384	2127
153	385	2118
154	387	2110
155	388	2103
156	389	2093
157	391	2085
158	392	2077
159	394	2069
160	395	2061
161	397	2054
162	398	2046
163	400	2040
164	401	2033
165	403	2027
166	404	2019
167	406	2012
168	407	2004
169	409	1997
170	411	1993
171	413	1989
172	415	1984
173	416	1978
174	418	1971
175	419	1964
176	421	1957
177	422	1950
178	424	1945
179	425	1938
180	426	1931
181	428	1924
182	429	1918
183	431	1912
184	432	1905
185	434	1899
186	435	1893
187	436	1887
188	438	1881
189	440	1877
190	441	1871
191	443	1865
192	444	1859
193	446	1854
194	447	1848
195	449	1842
196	450	1836
197	451	1829
198	453	1824
199	454	1819
200	456	1814
201	457	1808
202	459	1804
203	461	1799
204	462	1793
205	463	1788
206	465	1782
207	466	1777
208	469	1777
209	470	1771
210	472	1767
